id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
972,city,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,none,none,no students,no students,11,5,2,4,0,2.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,-1.24418604651163,3.5,1.39405684754522
973,city,west,100+,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,some students,some students,none,none,none,some languages,no students,no students,11.5,6,3,2,0.5,3.26614987080103,3.0594315245478,1.85615848406546,-0.905254091300603,-0.744186046511628,4.5,2.39405684754522
974,city,southeast,100+,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,few students,few students,none,none,all languages,all languages,no students,no students,11,3,2,4,2,2.76614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.755813953488372,2,-0.10594315245478
975,town,west,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,none,some languages,no students,few students,6.5,2,0,4,0.5,-1.73385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-0.744186046511628,1.5,-0.60594315245478
976,suburb,central,11-100,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no students,no students,none,none,none,some languages,no students,no students,6.5,3,2,1,0.5,-1.73385012919897,0.0594315245478034,0.856158484065461,-1.9052540913006,-0.744186046511628,2,-0.10594315245478
977,city,northeast,100+,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,most or all students,few students,none,none,all languages,all languages,no students,no students,13,5,4,2,2,4.76614987080103,2.0594315245478,2.85615848406546,-0.905254091300603,0.755813953488372,3.5,1.39405684754522
978,suburb,northeast,11-100,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,6.5,2,0,3,1.5,-1.73385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,0.255813953488372,1.5,-0.60594315245478
979,suburb,central,1-10,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,5,1,1,2,1,-3.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
980,town,west,11-100,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,some languages,some languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
981,town,southeast,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,6,2,1,2,1,-2.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
982,suburb,northeast,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
983,rural,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,some students,some students,some languages,some languages,some languages,some languages,some students,some students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,3.5,1.39405684754522
984,city,west,100+,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,few students,10,4,0,4,2,1.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,3,0.89405684754522
985,rural,southeast,1-10,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,none,none,none,none,few students,few students,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
986,rural,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
987,suburb,west,100+,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,8,2,2,3,1,-0.233850129198967,-0.940568475452197,0.856158484065461,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
988,city,southeast,11-100,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no students,few students,none,none,none,all languages,no students,few students,4,2,0,1,1,-4.23385012919897,-0.940568475452197,-1.14384151593454,-1.9052540913006,-0.244186046511628,1.5,-0.60594315245478
989,town,central,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,9,3,0,4,2,0.766149870801034,0.0594315245478034,-1.14384151593454,1.0947459086994,0.755813953488372,2,-0.10594315245478
990,town,southeast,1-10,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,few students,no students,,,,,,,8,3,3,2,0,-0.233850129198967,0.0594315245478034,1.85615848406546,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
991,city,west,100+,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,11,3,2,4,2,2.76614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.755813953488372,2,-0.10594315245478
992,suburb,west,11-100,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,9,4,1,3,1,0.766149870801034,1.0594315245478,-0.143841515934539,0.0947459086993971,-0.244186046511628,2.5,0.39405684754522
993,rural,southeast,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,,,,,,,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
994,suburb,northeast,1-10,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,,,,,,,5,2,0,3,0,-3.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,-1.24418604651163,1,-1.10594315245478
995,suburb,west,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,some languages,some languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
996,city,central,100+,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,9,4,1,3,1,0.766149870801034,1.0594315245478,-0.143841515934539,0.0947459086993971,-0.244186046511628,3,0.89405684754522
997,city,central,100+,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,few students,few students,some languages,none,some languages,some languages,few students,few students,9.5,4,1,3,1.5,1.26614987080103,1.0594315245478,-0.143841515934539,0.0947459086993971,0.255813953488372,3,0.89405684754522
998,town,central,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
999,city,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no students,some students,none,none,none,all languages,no students,some students,15,5,5,4,1,6.76614987080103,2.0594315245478,3.85615848406546,1.0947459086994,-0.244186046511628,3.5,1.39405684754522
1000,suburb,southeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,4,1,0,2,1,-4.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
1001,city,southeast,11-100,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,9,3,2,3,1,0.766149870801034,0.0594315245478034,0.856158484065461,0.0947459086993971,-0.244186046511628,2,-0.10594315245478
