id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
213,suburb,northeast,11-100,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,few students,11,5,2,2,2,2.76614987080103,2.0594315245478,0.856158484065461,-0.905254091300603,0.755813953488372,3,0.89405684754522
214,rural,central,1-10,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,some students,some students,some languages,some languages,some languages,some languages,no students,no students,11,3,2,4,2,2.76614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.755813953488372,2.5,0.39405684754522
215,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,no students,15,5,4,4,2,6.76614987080103,2.0594315245478,2.85615848406546,1.0947459086994,0.755813953488372,3.5,1.39405684754522
216,suburb,central,1-10,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,2,1,2,2,-1.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.755813953488372,1,-1.10594315245478
217,city,west,100+,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,some students,some students,all languages,all languages,all languages,all languages,no students,no students,20,7,5,4,4,11.766149870801,4.0594315245478,3.85615848406546,1.0947459086994,2.75581395348837,5.5,3.39405684754522
218,town,west,11-100,no,no,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,few students,few students,some languages,some languages,some languages,some languages,few students,few students,13,3,4,4,2,4.76614987080103,0.0594315245478034,2.85615848406546,1.0947459086994,0.755813953488372,2.5,0.39405684754522
219,rural,central,11-100,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,few students,8,2,0,4,2,-0.233850129198967,-0.940568475452197,-1.14384151593454,1.0947459086994,0.755813953488372,1,-1.10594315245478
220,city,west,100+,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,some students,most or all students,some languages,some languages,some languages,some languages,few students,most or all students,12,3,3,4,2,3.76614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,0.755813953488372,2.5,0.39405684754522
221,city,southeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,none,none,none,none,no students,no students,2,1,0,1,0,-6.23385012919897,-1.9405684754522,-1.14384151593454,-1.9052540913006,-1.24418604651163,1,-1.10594315245478
222,city,west,1-10,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,none,some languages,no students,few students,6.5,4,0,2,0.5,-1.73385012919897,1.0594315245478,-1.14384151593454,-0.905254091300603,-0.744186046511628,3,0.89405684754522
223,city,west,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
224,rural,southeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
225,town,central,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,all languages,all languages,all languages,all languages,no students,no students,12,3,1,4,4,3.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,2.75581395348837,2,-0.10594315245478
226,suburb,northeast,1-10,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,all languages,all languages,no students,no students,12,4,1,4,3,3.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,1.75581395348837,2.5,0.39405684754522
227,rural,southeast,11-100,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,few students,,,,,,,7,2,2,3,0,-1.23385012919897,-0.940568475452197,0.856158484065461,0.0947459086993971,-1.24418604651163,1.5,-0.60594315245478
228,rural,central,1-10,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,none,none,none,none,no students,no students,2,2,0,0,0,-6.23385012919897,-0.940568475452197,-1.14384151593454,-2.9052540913006,-1.24418604651163,1,-1.10594315245478
229,suburb,northeast,100+,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,some students,most or all students,all languages,none,all languages,all languages,no students,some students,13,5,2,3,3,4.76614987080103,2.0594315245478,0.856158484065461,0.0947459086993971,1.75581395348837,3.5,1.39405684754522
230,city,west,100+,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,all languages,all languages,some languages,some languages,no students,some students,12,4,1,4,3,3.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,1.75581395348837,3,0.89405684754522
231,rural,southeast,11-100,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,all languages,none,no students,few students,9,4,0,4,1,0.766149870801034,1.0594315245478,-1.14384151593454,1.0947459086994,-0.244186046511628,2.5,0.39405684754522
232,city,northeast,100+,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,some students,some students,none,none,all languages,all languages,no students,some students,14,6,4,2,2,5.76614987080103,3.0594315245478,2.85615848406546,-0.905254091300603,0.755813953488372,4.5,2.39405684754522
233,town,northeast,1-10,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,4,0,2,2,-0.233850129198967,1.0594315245478,-1.14384151593454,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
234,town,southeast,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,4,1,0,2,1,-4.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
235,rural,west,100+,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,few students,few students,none,none,all languages,all languages,no students,no students,8,3,1,2,2,-0.233850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
236,town,central,1-10,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,few students,few students,none,none,none,none,no students,no students,5,1,1,3,0,-3.23385012919897,-1.9405684754522,-0.143841515934539,0.0947459086993971,-1.24418604651163,1,-1.10594315245478
237,rural,central,1-10,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,most or all students,no students,some languages,some languages,some languages,some languages,no students,no students,7,1,0,4,2,-1.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,0.755813953488372,1,-1.10594315245478
238,suburb,central,1-10,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,no students,,,,,,,9,5,1,3,0,0.766149870801034,2.0594315245478,-0.143841515934539,0.0947459086993971,-1.24418604651163,3.5,1.39405684754522
239,suburb,west,100+,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,some students,some students,none,none,some languages,some languages,no students,few students,10,3,2,4,1,1.76614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,-0.244186046511628,2.5,0.39405684754522
240,suburb,northeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
241,town,southeast,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,few students,some students,none,none,some languages,all languages,some students,no students,7.5,3,1,2,1.5,-0.733850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.255813953488372,2,-0.10594315245478
242,suburb,northeast,11-100,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no students,some students,none,none,some languages,all languages,no students,some students,11.5,5,2,3,1.5,3.26614987080103,2.0594315245478,0.856158484065461,0.0947459086993971,0.255813953488372,3.5,1.39405684754522
243,suburb,central,11-100,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
244,suburb,central,100+,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,all languages,no students,no students,8,3,0,3,2,-0.233850129198967,0.0594315245478034,-1.14384151593454,0.0947459086993971,0.755813953488372,2,-0.10594315245478
245,town,west,1-10,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,some languages,no students,no students,7.5,3,1,2,1.5,-0.733850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.255813953488372,2,-0.10594315245478
246,suburb,southeast,100+,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,some students,none,none,some languages,all languages,no students,no students,9.5,4,2,2,1.5,1.26614987080103,1.0594315245478,0.856158484065461,-0.905254091300603,0.255813953488372,3,0.89405684754522
247,city,southeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,7,3,0,3,1,-1.23385012919897,0.0594315245478034,-1.14384151593454,0.0947459086993971,-0.244186046511628,2,-0.10594315245478
248,rural,central,1-10,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
249,town,southeast,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,6,2,0,3,1,-2.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
250,suburb,central,1-10,no,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,few students,few students,13,3,2,4,4,4.76614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,2.75581395348837,2,-0.10594315245478
251,town,central,1-10,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,few students,few students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
252,suburb,central,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,none,some languages,no students,no students,4.5,2,0,2,0.5,-3.73385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.744186046511628,1.5,-0.60594315245478
253,rural,northeast,1-10,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,8,4,1,2,1,-0.233850129198967,1.0594315245478,-0.143841515934539,-0.905254091300603,-0.244186046511628,2.5,0.39405684754522
254,town,west,1-10,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,all languages,no students,no students,9.5,3,0,4,2.5,1.26614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,1.25581395348837,2,-0.10594315245478
255,town,northeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
256,suburb,west,100+,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,some students,most or all students,,,,,,,10,2,5,3,0,1.76614987080103,-0.940568475452197,3.85615848406546,0.0947459086993971,-1.24418604651163,1.5,-0.60594315245478
257,suburb,central,100+,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,few students,few students,none,none,some languages,some languages,no students,no students,9,4,1,3,1,0.766149870801034,1.0594315245478,-0.143841515934539,0.0947459086993971,-0.244186046511628,3,0.89405684754522
258,rural,southeast,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,none,none,no students,few students,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
259,rural,west,11-100,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,most or all students,most or all students,,,,,,,12,6,2,4,0,3.76614987080103,3.0594315245478,0.856158484065461,1.0947459086994,-1.24418604651163,5,2.89405684754522
260,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
261,rural,west,1-10,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,all languages,some languages,all languages,all languages,no students,no students,7.5,1,1,2,3.5,-0.733850129198967,-1.9405684754522,-0.143841515934539,-0.905254091300603,2.25581395348837,1,-1.10594315245478
262,suburb,northeast,1-10,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no students,few students,none,none,all languages,none,no students,no students,7,2,3,1,1,-1.23385012919897,-0.940568475452197,1.85615848406546,-1.9052540913006,-0.244186046511628,1.5,-0.60594315245478
263,town,central,1-10,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,some languages,none,no students,no students,10.5,6,0,4,0.5,2.26614987080103,3.0594315245478,-1.14384151593454,1.0947459086994,-0.744186046511628,4,1.89405684754522
264,rural,southeast,100+,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,some students,some students,,,,,,,12,5,3,4,0,3.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,-1.24418604651163,4.5,2.39405684754522
265,town,west,11-100,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,few students,few students,some languages,none,all languages,all languages,no students,some students,9.5,2,3,2,2.5,1.26614987080103,-0.940568475452197,1.85615848406546,-0.905254091300603,1.25581395348837,1.5,-0.60594315245478
266,suburb,northeast,1-10,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,few students,no students,none,none,none,none,no students,no students,5,2,1,2,0,-3.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
267,city,northeast,11-100,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,4,0,2,2,-0.233850129198967,1.0594315245478,-1.14384151593454,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
268,suburb,northeast,1-10,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,some languages,no students,no students,7.5,3,1,2,1.5,-0.733850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.255813953488372,1.5,-0.60594315245478
269,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,9.5,3,2,3,1.5,1.26614987080103,0.0594315245478034,0.856158484065461,0.0947459086993971,0.255813953488372,2,-0.10594315245478
270,city,west,100+,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,none,none,no students,no students,8,4,1,3,0,-0.233850129198967,1.0594315245478,-0.143841515934539,0.0947459086993971,-1.24418604651163,2.5,0.39405684754522
271,town,central,1-10,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,4,1,1,2,0,-4.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
272,city,southeast,11-100,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no students,some students,none,none,none,some languages,no students,no students,6.5,5,0,1,0.5,-1.73385012919897,2.0594315245478,-1.14384151593454,-1.9052540913006,-0.744186046511628,3.5,1.39405684754522
273,town,southeast,11-100,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no students,no students,some languages,none,all languages,all languages,no students,no students,12.5,5,1,4,2.5,4.26614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,1.25581395348837,3.5,1.39405684754522
274,town,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
275,rural,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,most or all students,most or all students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
276,town,west,11-100,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,3,0,2,1,-2.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
277,suburb,southeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,all languages,all languages,no students,no students,7,1,0,4,2,-1.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,0.755813953488372,1,-1.10594315245478
278,suburb,southeast,100+,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,some languages,some languages,no students,some students,11,4,1,4,2,2.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3,0.89405684754522
279,suburb,northeast,100+,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,none,none,no students,no students,7,3,2,2,0,-1.23385012919897,0.0594315245478034,0.856158484065461,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
280,town,southeast,1-10,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,most or all students,few students,none,none,all languages,some languages,no students,no students,5.5,1,1,2,1.5,-2.73385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,0.255813953488372,0.5,-1.60594315245478
281,town,southeast,11-100,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no students,no students,none,none,none,none,no students,no students,11,5,2,4,0,2.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,-1.24418604651163,3,0.89405684754522
282,rural,west,1-10,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,some languages,no students,no students,3.5,1,0,2,0.5,-4.73385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-0.744186046511628,0.5,-1.60594315245478
283,suburb,northeast,100+,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,some students,most or all students,none,none,some languages,some languages,no students,no students,12,3,5,3,1,3.76614987080103,0.0594315245478034,3.85615848406546,0.0947459086993971,-0.244186046511628,2.5,0.39405684754522
284,town,central,1-10,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
285,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
286,rural,central,1-10,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
287,rural,southeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,,,,,,,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
288,suburb,west,100+,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,some students,none,none,all languages,all languages,no students,some students,9,3,2,2,2,0.766149870801034,0.0594315245478034,0.856158484065461,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
289,rural,west,1-10,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,few students,some students,none,none,none,none,no students,some students,13,5,5,3,0,4.76614987080103,2.0594315245478,3.85615848406546,0.0947459086993971,-1.24418604651163,3.5,1.39405684754522
290,town,southeast,1-10,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,all languages,all languages,no students,most or all students,9,1,1,4,3,0.766149870801034,-1.9405684754522,-0.143841515934539,1.0947459086994,1.75581395348837,0.5,-1.60594315245478
291,city,west,100+,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,8,3,0,4,1,-0.233850129198967,0.0594315245478034,-1.14384151593454,1.0947459086994,-0.244186046511628,2,-0.10594315245478
292,suburb,west,11-100,no,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no students,no students,none,none,none,all languages,no students,no students,9,3,1,4,1,0.766149870801034,0.0594315245478034,-0.143841515934539,1.0947459086994,-0.244186046511628,2,-0.10594315245478
293,town,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,few students,few students,none,none,some languages,some languages,no students,no students,7,3,0,3,1,-1.23385012919897,0.0594315245478034,-1.14384151593454,0.0947459086993971,-0.244186046511628,2,-0.10594315245478
294,town,west,11-100,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
295,rural,northeast,1-10,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no students,no students,none,none,none,none,no students,no students,3,1,2,0,0,-5.23385012919897,-1.9405684754522,0.856158484065461,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
296,suburb,central,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
297,city,central,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,all languages,all languages,no students,no students,10,3,0,4,3,1.76614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,1.75581395348837,2,-0.10594315245478
298,rural,southeast,1-10,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,most or all students,most or all students,some languages,none,some languages,some languages,some students,some students,9.5,3,2,3,1.5,1.26614987080103,0.0594315245478034,0.856158484065461,0.0947459086993971,0.255813953488372,2.5,0.39405684754522
299,rural,southeast,11-100,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,most or all students,most or all students,some languages,some languages,some languages,some languages,no students,no students,11,1,4,4,2,2.76614987080103,-1.9405684754522,2.85615848406546,1.0947459086994,0.755813953488372,1,-1.10594315245478
300,suburb,west,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,2,0,3,1,-2.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
301,city,northeast,100+,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,some students,some students,all languages,all languages,all languages,all languages,no students,few students,16,6,2,4,4,7.76614987080103,3.0594315245478,0.856158484065461,1.0947459086994,2.75581395348837,4.5,2.39405684754522
302,city,southeast,100+,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,most or all students,none,none,all languages,all languages,no students,some students,11,4,2,3,2,2.76614987080103,1.0594315245478,0.856158484065461,0.0947459086993971,0.755813953488372,3,0.89405684754522
303,city,west,100+,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,few students,most or all students,some languages,none,all languages,all languages,no students,no students,10.5,3,1,4,2.5,2.26614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,1.25581395348837,2,-0.10594315245478
304,suburb,central,1-10,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,,,,,,,8,3,1,4,0,-0.233850129198967,0.0594315245478034,-0.143841515934539,1.0947459086994,-1.24418604651163,2,-0.10594315245478
305,suburb,northeast,11-100,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,4,0,2,2,-0.233850129198967,1.0594315245478,-1.14384151593454,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
306,town,southeast,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,no students,some languages,some languages,some languages,some languages,no students,no students,8,2,0,4,2,-0.233850129198967,-0.940568475452197,-1.14384151593454,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
307,city,west,100+,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,some students,most or all students,none,none,all languages,all languages,no students,few students,11,4,1,4,2,2.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3,0.89405684754522
